Time,Subject,Midline
0.15625,CTEEG_Control_61,2.51e-6
0.15625,CTEEG_Control_62,5.91e-7
0.15625,CTEEG_Control_65,1.23e-6
0.16406,CTEEG_Control_30,1.34e-6
0.16406,CTEEG_Control_31,1.88e-6
0.16406,CTEEG_Control_32,2.29e-6
0.16406,CTEEG_Control_33,1.51e-6
0.16406,CTEEG_Control_34,2e-6
0.16406,CTEEG_Control_35,7.64e-7
0.16406,CTEEG_Control_36,2.91e-6
0.16406,CTEEG_Control_37,1.66e-6
0.16406,CTEEG_Control_38,1.51e-6
0.16406,CTEEG_Control_41,1.84e-6
0.16406,CTEEG_Control_42,1.42e-6
0.16406,CTEEG_Control_43,1.29e-6
0.16406,CTEEG_Control_46,2.58e-6
0.16406,CTEEG_Control_47,8.63e-7
0.16406,CTEEG_Control_48,1.22e-6
0.16406,CTEEG_Control_51,8.49e-7
0.16406,CTEEG_Control_52,6.42e-6
0.16406,CTEEG_Control_53,1.42e-6
0.16406,CTEEG_Control_54,9.16e-7
0.16406,CTEEG_Control_55,1.27e-6
0.16406,CTEEG_Control_56,1.2e-6
0.16406,CTEEG_Control_59,1.76e-6
0.16406,CTEEG_Control_61,2.57e-6
0.16406,CTEEG_Control_62,5.98e-7
0.16406,CTEEG_Control_65,1.22e-6
0.17188,CTEEG_Control_30,1.34e-6
0.17188,CTEEG_Control_31,1.86e-6
0.17188,CTEEG_Control_32,2.25e-6
0.17188,CTEEG_Control_33,1.49e-6
0.17188,CTEEG_Control_34,1.97e-6
0.17188,CTEEG_Control_35,7.72e-7
0.17188,CTEEG_Control_36,2.89e-6
0.17188,CTEEG_Control_37,1.66e-6
0.17188,CTEEG_Control_38,1.5e-6
0.17188,CTEEG_Control_41,1.83e-6
0.17188,CTEEG_Control_42,1.44e-6
0.17188,CTEEG_Control_43,1.27e-6
0.17188,CTEEG_Control_46,2.55e-6
0.17188,CTEEG_Control_47,8.67e-7
0.17188,CTEEG_Control_48,1.21e-6
0.17188,CTEEG_Control_51,8.53e-7
0.17188,CTEEG_Control_52,6.39e-6
0.17188,CTEEG_Control_53,1.43e-6
0.17188,CTEEG_Control_54,9.02e-7
0.17188,CTEEG_Control_55,1.24e-6
0.17188,CTEEG_Control_56,1.19e-6
0.17188,CTEEG_Control_59,1.75e-6
0.17188,CTEEG_Control_61,2.62e-6
0.17188,CTEEG_Control_62,6.11e-7
0.17188,CTEEG_Control_65,1.22e-6
0.17969,CTEEG_Control_30,1.33e-6
0.17969,CTEEG_Control_31,1.84e-6
0.17969,CTEEG_Control_32,2.21e-6
0.17969,CTEEG_Control_33,1.47e-6
0.17969,CTEEG_Control_34,1.96e-6
0.17969,CTEEG_Control_35,7.8e-7
0.17969,CTEEG_Control_36,2.87e-6
0.17969,CTEEG_Control_37,1.65e-6
0.17969,CTEEG_Control_38,1.5e-6
0.17969,CTEEG_Control_41,1.82e-6
0.17969,CTEEG_Control_42,1.45e-6
0.17969,CTEEG_Control_43,1.26e-6
0.17969,CTEEG_Control_46,2.51e-6
0.17969,CTEEG_Control_47,8.72e-7
0.17969,CTEEG_Control_48,1.2e-6
0.17969,CTEEG_Control_51,8.59e-7
0.17969,CTEEG_Control_52,6.35e-6
0.17969,CTEEG_Control_53,1.45e-6
0.17969,CTEEG_Control_54,8.92e-7
0.17969,CTEEG_Control_55,1.21e-6
0.17969,CTEEG_Control_56,1.19e-6
0.17969,CTEEG_Control_59,1.74e-6
0.17969,CTEEG_Control_61,2.68e-6
0.17969,CTEEG_Control_62,6.24e-7
0.17969,CTEEG_Control_65,1.21e-6
0.1875,CTEEG_Control_30,1.34e-6
0.1875,CTEEG_Control_31,1.83e-6
0.1875,CTEEG_Control_32,2.17e-6
0.1875,CTEEG_Control_33,1.44e-6
0.1875,CTEEG_Control_34,1.95e-6
