"","Subject","hhm_2_aics","hhm_3_aics","hhm_4_aics","hhm_5_aics","performance_class","performance_trials"
"233","CTEEG023",824.636567155075,346.625477875268,6.9827137955447,-513.016795956028,"experiment","12"
"234","CTEEG024",-1124.32389171874,-2522.3077391958,-3944.38339665144,-4628.80358525409,"experiment","12"
"235","CTEEG049",1571.19056363937,391.617521079906,-352.171648777004,-761.595588041136,"experiment","12"
"236","CTEEG057",657.810847456158,-1301.73501622213,-3148.12125092684,-4499.62915198155,"experiment","12"
"237","CTEEG058",758.338714772103,32.5085333097561,-455.358026553648,-705.179652162822,"experiment","12"
"238","CTEEG060",110.606394891017,-368.425925478652,-718.410231873903,-956.44462249264,"experiment","12"
"239","CTEEG002",-2513.39778896634,-3161.57919009514,-3406.89309117237,-3623.84115101187,"experiment","12"
"240","CTEEG003",-1720.45138871118,-2397.59101781407,-2768.32391799039,-2975.49468482037,"experiment","12"
"241","CTEEG004",-1774.82818531978,-2464.45933094741,-2954.96742137542,-3210.53222992491,"experiment","12"
"242","CTEEG005",-3854.92668069002,-4427.51494347458,-4950.3794117192,-5347.914473236,"experiment","12"
"243","CTEEG006",-2188.27598627862,-2813.47553948871,-3103.25434097363,-3343.64650273283,"experiment","12"
"244","CTEEG008",-3144.18357405982,-3818.59040831637,-4315.40303817353,-4502.38530163511,"experiment","12"
"245","CTEEG009",-17658.0565056225,-21487.1344577537,-25412.2237643245,-27529.6970853188,"experiment","12"
"246","CTEEG011",-3532.16361795409,-4432.51452045344,-4852.11973472992,-5183.95814891714,"experiment","12"
"247","CTEEG012",-3361.70857013822,-4348.94344423325,-4898.68861477313,-5215.62861719742,"experiment","12"
"248","CTEEG013",-2465.6011591638,-2779.5665817685,-3268.10944968699,-3059.11744185303,"experiment","12"
"249","CTEEG015",-2329.91824361318,-2934.42440360908,-3251.31535773252,-3706.4229323048,"experiment","12"
"250","CTEEG017",-3530.64058555659,-3899.05628223821,-4402.37695743934,-4716.21673401929,"experiment","12"
"251","CTEEG018",-1779.82707413855,-2098.3134840119,-2491.01007340426,-2719.40128944402,"experiment","12"
"252","CTEEG019",-3209.83935804732,-3949.6224361011,-4278.58280325725,-4592.98856336039,"experiment","12"
"253","CTEEG021",-3482.89460759152,-3936.2547688272,-4333.76604334021,-4262.09777060419,"experiment","12"
"254","CTEEG022",-6728.82907746177,-8907.19871631267,-10260.0343037908,-11229.2168765036,"experiment","12"
"255","CTEEG023",-3126.24294322857,-3604.25401725401,-3943.89677458359,-4463.89623743595,"experiment","12"
"256","CTEEG024",-10171.2653855171,-11569.2492230105,-12991.3248693351,-13675.7450530614,"experiment","12"
"257","CTEEG049",-4344.1173306966,-5523.69034776145,-6267.47950583172,-6676.90331550101,"experiment","12"
"258","CTEEG057",-11608.8551922765,-13568.400935591,-15414.7872195715,-16766.2951606288,"experiment","12"
"259","CTEEG058",-3470.02731893366,-4195.85749705068,-4683.72402059092,-4933.54564461077,"experiment","12"
"260","CTEEG060",-2466.05415684826,-2945.08645997338,-3295.0707054325,-3533.10515446081,"experiment","12"
"261","CTEEG002",-1278.58956918084,-1926.77097030964,-2172.08491148841,-2389.03293122636,"experiment","12"
"262","CTEEG003",-667.416970658844,-1344.55660544009,-1715.28949705656,-1922.46027382428,"experiment","12"
